Date,Price,Open,High,Low,Vol.,Change %
12/4/20,74.2999,74.3445,74.5138,74.048,-,0.31%
12/3/20,74.0674,74.4601,74.6056,73.7934,-,-0.58%
12/2/20,74.4985,74.2725,74.9148,74.0045,-,-0.07%
12/1/20,74.5522,74.7273,75.1096,74.3921,-,0.26%
11/30/20,74.3612,74.874,75.0105,74.2738,-,-0.61%
11/27/20,74.8153,74.8514,75.0981,74.5626,-,0.01%
11/25/20,74.8049,75.0136,75.0303,74.5119,-,0.10%
11/24/20,74.7333,74.0924,74.7465,73.8791,-,0.78%
11/23/20,74.1582,74.4098,74.7382,73.9263,-,0.03%
11/20/20,74.1352,73.7728,74.3072,73.7567,-,0.82%
11/19/20,73.5352,74.0713,74.0811,73.2227,-,-0.88%
11/18/20,74.1894,73.7398,74.6115,73.7266,-,0.41%
11/17/20,73.8867,73.9057,74.1078,73.6165,-,0.16%
11/16/20,73.7721,73.8628,74.07,73.563,-,0.06%
11/13/20,73.7271,73.3191,74.2118,73.2964,-,0.01%
11/12/20,73.7197,74.0753,74.2383,73.6615,-,-0.38%
11/11/20,74.0021,74.3132,74.5308,73.7723,-,0.05%
11/10/20,73.9644,72.8866,74.0708,72.8102,-,1.67%
11/9/20,72.7483,73.2691,73.7784,72.6886,-,-0.10%
11/6/20,72.8223,73.1013,73.4913,72.6986,-,-0.50%
11/5/20,73.1916,72.835,73.9608,72.7367,-,0.69%
11/4/20,72.6915,71.9465,72.7319,71.4317,-,0.60%
11/3/20,72.2588,72.2065,72.7464,72.0666,-,0.19%
11/2/20,72.1251,71.5293,72.153,71.2137,-,0.39%
10/30/20,71.8436,71.9282,72.0342,71.3752,-,0.32%
10/29/20,71.6138,72.2665,72.4314,70.7474,-,-0.72%
10/28/20,72.1367,73.2738,73.4685,72.0211,-,-1.97%
10/27/20,73.584,73.2566,73.7509,73.1515,-,0.48%
10/26/20,73.2292,73.3175,73.4235,72.9615,-,-0.46%
10/23/20,73.5659,73.7599,73.9878,73.4016,-,-0.37%
10/22/20,73.8375,73.7972,74.2342,73.6858,-,-0.39%
10/21/20,74.1266,74.1137,74.5427,74.0449,-,0.27%
10/20/20,73.9302,73.3202,74.033,73.2839,-,0.49%
10/19/20,73.5685,73.4653,73.9304,73.3332,-,0.25%
10/16/20,73.384,73.4675,73.792,73.2666,-,-0.07%
10/15/20,73.4361,73.0734,73.4553,72.4008,-,0.60%
10/14/20,72.9956,72.3959,73.082,72.2737,-,0.59%
10/13/20,72.5698,72.6408,72.9901,72.3323,-,-0.29%
10/12/20,72.7782,73.6512,73.8177,72.7274,-,-0.65%
10/9/20,73.2507,72.6341,73.5018,72.5821,-,1.52%
10/8/20,72.1571,71.8725,72.4986,71.7568,-,0.50%
10/7/20,71.8011,70.86,72.0352,70.86,-,0.57%
10/6/20,71.3957,71.1228,72.0295,71.0712,-,0.49%
10/5/20,71.0452,70.1984,71.4243,69.9809,-,1.78%
10/2/20,69.8026,69.7114,70.3024,69.2179,-,-0.63%
10/1/20,70.2483,71.071,71.3014,69.8037,-,-0.85%
9/30/20,70.8516,69.9454,71.102,69.5005,-,0.83%
9/29/20,70.2685,70.8846,70.9613,69.8611,-,-1.01%
9/28/20,70.9886,70.7742,71.0208,70.3745,-,0.43%
