"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 04, 2020","27.51","27.50","27.52","27.49","1.41K","0.04%"
"Dec 03, 2020","27.50","27.49","27.51","27.49","2.88K","0.11%"
"Dec 02, 2020","27.47","27.47","27.47","27.47","0.62K","-0.04%"
"Dec 01, 2020","27.48","27.48","27.48","27.48","0.00K","0.04%"
"Nov 30, 2020","27.47","27.53","27.53","27.46","7.82K","-0.11%"
"Nov 27, 2020","27.50","27.49","27.50","27.48","6.15K","0.07%"
"Nov 25, 2020","27.48","27.47","27.48","27.47","1.39K","0.00%"
"Nov 24, 2020","27.48","27.48","27.50","27.48","1.80K","0.04%"
"Nov 23, 2020","27.47","27.47","27.47","27.47","0.49K","0.00%"
"Nov 20, 2020","27.47","27.48","27.48","27.46","0.48K","-0.04%"
"Nov 19, 2020","27.48","27.47","27.48","27.46","1.22K","0.07%"
"Nov 18, 2020","27.46","27.49","27.49","27.46","1.31K","-0.15%"
"Nov 17, 2020","27.50","27.48","27.50","27.48","0.28K","0.07%"
"Nov 16, 2020","27.48","27.46","27.49","27.46","1.45K","0.07%"
"Nov 13, 2020","27.46","27.46","27.46","27.46","0.09K","0.22%"
"Nov 12, 2020","27.40","27.40","27.40","27.40","0.00K","-0.07%"
"Nov 11, 2020","27.42","27.40","27.44","27.40","9.01K","0.07%"
"Nov 10, 2020","27.40","27.38","27.40","27.38","1.18K","0.15%"
"Nov 09, 2020","27.36","27.43","27.43","27.36","8.92K","0.18%"
"Nov 06, 2020","27.31","27.32","27.33","27.31","2.90K","-0.11%"
"Nov 05, 2020","27.34","27.39","27.39","27.34","3.72K","0.07%"
"Nov 04, 2020","27.32","27.33","27.35","27.32","5.44K","0.22%"
"Nov 03, 2020","27.26","27.24","27.27","27.24","6.79K","0.18%"
"Nov 02, 2020","27.21","27.19","27.21","27.19","1.49K","0.26%"
"Oct 30, 2020","27.14","27.14","27.14","27.14","0.35K","-0.18%"
"Oct 29, 2020","27.19","27.20","27.20","27.19","1.17K","0.11%"
"Oct 28, 2020","27.16","27.16","27.16","27.16","0.14K","-0.29%"
"Oct 27, 2020","27.24","27.27","27.27","27.24","1.05K","-0.11%"
"Oct 26, 2020","27.27","27.24","27.28","27.24","1.57K","-0.11%"
"Oct 23, 2020","27.30","27.28","27.31","27.28","1.46K","0.63%"
"Oct 22, 2020","27.13","27.32","27.32","27.00","5.31K","-0.59%"
"Oct 21, 2020","27.29","27.29","27.30","27.27","4.50K","-0.04%"
"Oct 20, 2020","27.30","27.30","27.30","27.30","0.11K","0.07%"
"Oct 19, 2020","27.28","27.30","27.31","27.28","0.83K","-0.26%"
"Oct 16, 2020","27.35","27.36","27.36","27.34","1.25K","0.04%"
"Oct 15, 2020","27.34","27.34","27.34","27.34","0.45K","0.00%"
"Oct 14, 2020","27.34","27.34","27.34","27.34","0.15K","-0.07%"
"Oct 13, 2020","27.36","27.37","27.37","27.36","1.40K","-0.15%"
"Oct 12, 2020","27.40","27.40","27.41","27.39","1.88K","0.11%"
"Oct 09, 2020","27.37","27.35","27.37","27.35","0.23K","0.00%"
"Oct 08, 2020","27.37","27.37","27.37","27.37","0.01K","0.11%"
"Oct 07, 2020","27.34","27.32","27.35","27.32","4.42K","0.07%"
"Oct 06, 2020","27.32","27.32","27.32","27.32","0.01K","-0.04%"
"Oct 05, 2020","27.33","27.33","27.33","27.33","0.03K","0.04%"
"Oct 04, 2020","27.32","27.32","27.32","27.32","-","0.00%"
"Oct 03, 2020","27.32","27.32","27.32","27.32","-","0.00%"
"Oct 02, 2020","27.32","27.30","27.32","27.30","0.94K","0.11%"
"Oct 01, 2020","27.29","27.28","27.30","27.28","3.31K","0.15%"
"Sep 30, 2020","27.25","27.27","27.28","27.25","11.54K","0.04%"
"Sep 29, 2020","27.24","27.24","27.24","27.24","0.05K","-0.07%"
"Sep 28, 2020","27.26","27.26","27.26","27.26","0.01K","0.18%"
"Sep 27, 2020","27.21","27.21","27.21","27.21","-","0.00%"
"Sep 26, 2020","27.21","27.21","27.21","27.21","-","0.00%"
"Sep 25, 2020","27.21","27.18","27.21","27.18","1.47K","0.18%"
"Sep 24, 2020","27.16","27.16","27.19","27.16","1.52K","0.07%"
"Sep 23, 2020","27.14","27.20","27.20","27.13","8.58K","-0.26%"
"Sep 22, 2020","27.21","27.15","27.21","27.15","0.88K","0.11%"
"Sep 21, 2020","27.18","27.18","27.18","27.18","0.08K","-0.18%"
"Sep 18, 2020","27.23","27.29","27.30","27.22","7.12K","-0.29%"
"Sep 17, 2020","27.31","27.35","27.36","27.30","4.65K","-0.18%"
"Sep 16, 2020","27.36","27.38","27.38","27.36","1.84K","0.11%"
"Sep 15, 2020","27.33","27.35","27.38","27.32","0.95K","0.11%"
"Sep 14, 2020","27.30","27.30","27.30","27.30","0.00K","0.29%"
"Sep 13, 2020","27.22","27.22","27.22","27.22","-","0.00%"
"Sep 11, 2020","27.22","27.22","27.22","27.22","0.10K","0.00%"
"Sep 10, 2020","27.22","27.28","27.28","27.22","5.38K","-0.26%"
"Sep 09, 2020","27.29","27.29","27.29","27.29","-","0.22%"
"Sep 08, 2020","27.23","27.30","27.31","27.23","6.15K","-0.18%"
"Sep 04, 2020","27.28","27.31","27.31","27.28","1.25K","-0.07%"
"Sep 03, 2020","27.30","27.31","27.34","27.30","2.21K","-0.15%"
"Sep 02, 2020","27.34","27.30","27.34","27.30","1.23K","0.07%"
"Sep 01, 2020","27.32","27.26","27.32","27.26","2.33K","0.04%"
"Aug 31, 2020","27.31","27.33","27.34","27.31","0.28K","0.00%"
"Aug 30, 2020","27.31","27.31","27.31","27.31","-","0.00%"
"Aug 28, 2020","27.31","27.27","27.31","27.27","1.11K","0.07%"
"Aug 27, 2020","27.29","27.33","27.33","27.26","0.32K","0.11%"
"Aug 26, 2020","27.26","27.22","27.29","27.22","5.56K","-0.07%"
"Aug 25, 2020","27.28","27.30","27.30","27.28","0.52K","0.00%"
"Aug 24, 2020","27.28","27.24","27.29","27.24","1.55K","0.07%"
"Aug 23, 2020","27.26","27.26","27.26","27.26","-","0.00%"
"Aug 21, 2020","27.26","27.27","27.27","27.20","1.64K","0.04%"
"Aug 20, 2020","27.25","27.23","27.29","27.23","2.76K","0.15%"
"Aug 19, 2020","27.21","27.24","27.24","27.19","0.25K","-0.29%"
"Aug 18, 2020","27.29","27.30","27.31","26.90","50.66K","-0.07%"
"Aug 17, 2020","27.31","27.29","27.31","27.28","8.63K","0.11%"
"Aug 14, 2020","27.28","27.29","27.29","27.28","0.23K","0.00%"
"Aug 13, 2020","27.28","27.28","27.31","27.28","1.27K","-0.15%"
"Aug 12, 2020","27.32","27.32","27.32","27.32","0.00K","0.11%"
"Aug 11, 2020","27.29","27.31","27.31","27.29","0.32K","-0.18%"
"Aug 10, 2020","27.34","27.33","27.35","27.33","1.33K","0.04%"
"Aug 09, 2020","27.33","27.33","27.33","27.33","-","0.00%"
"Aug 08, 2020","27.33","27.33","27.33","27.33","-","0.00%"
"Aug 07, 2020","27.33","27.32","27.34","27.32","0.52K","0.11%"
"Aug 06, 2020","27.30","27.31","27.32","27.30","2.44K","0.04%"
"Aug 05, 2020","27.29","27.30","27.30","27.29","0.39K","-0.07%"
"Aug 04, 2020","27.31","27.24","27.32","27.24","2.70K","0.15%"
"Aug 03, 2020","27.27","27.25","27.27","27.25","2.98K","-0.07%"
"Aug 02, 2020","27.29","27.29","27.29","27.29","-","0.00%"
"Jul 31, 2020","27.29","27.29","27.29","27.29","0.37K","-0.04%"
"Jul 30, 2020","27.30","27.27","27.30","27.26","5.05K","-0.04%"
"Jul 29, 2020","27.31","27.30","27.31","27.30","0.19K","0.26%"
"Jul 28, 2020","27.24","27.16","27.24","27.16","2.62K","0.15%"
"Jul 27, 2020","27.20","27.12","27.20","27.12","0.30K","0.11%"
"Jul 26, 2020","27.17","27.17","27.17","27.17","-","0.00%"
"Jul 25, 2020","27.17","27.17","27.17","27.17","-","0.00%"
"Jul 24, 2020","27.17","27.18","27.18","27.17","0.50K","-0.07%"
"Jul 23, 2020","27.19","27.19","27.19","27.19","0.05K","-0.04%"
"Jul 22, 2020","27.20","27.20","27.20","27.20","0.14K","0.15%"
"Jul 21, 2020","27.16","27.16","27.16","27.16","1.00K","0.04%"
"Jul 20, 2020","27.15","27.15","27.16","27.14","2.18K","-0.11%"
"Jul 17, 2020","27.18","27.17","27.18","27.16","0.54K","0.15%"
"Jul 16, 2020","27.14","27.14","27.14","27.14","0.01K","-0.07%"
"Jul 15, 2020","27.16","27.15","27.16","27.15","4.82K","0.07%"
"Jul 14, 2020","27.14","27.12","27.14","27.00","2.03K","0.04%"
"Jul 13, 2020","27.13","27.13","27.13","27.13","0.00K","-0.07%"
"Jul 12, 2020","27.15","27.15","27.15","27.15","-","0.00%"
"Jul 11, 2020","27.15","27.15","27.15","27.15","-","0.00%"
"Jul 10, 2020","27.15","27.15","27.15","27.14","0.40K","0.00%"
"Jul 09, 2020","27.15","27.15","27.15","27.15","0.02K","-0.11%"
"Jul 08, 2020","27.18","27.21","27.21","27.15","1.19K","0.11%"
"Jul 07, 2020","27.15","27.16","27.18","27.15","0.89K","-0.15%"
"Jul 06, 2020","27.19","27.19","27.19","27.19","0.11K","0.00%"
"Jul 05, 2020","27.19","27.19","27.19","27.19","-","0.00%"
"Jul 04, 2020","27.19","27.19","27.19","27.19","-","0.00%"
"Jul 02, 2020","27.19","27.19","27.19","27.19","0.00K","-0.18%"
"Jul 01, 2020","27.24","27.18","27.29","27.16","4.02K","0.33%"
"Jun 30, 2020","27.15","27.15","27.15","27.15","1.38K","0.07%"
"Jun 29, 2020","27.13","27.11","27.13","27.11","0.47K","0.18%"
"Jun 26, 2020","27.08","27.13","27.13","27.08","3.58K","-0.07%"
"Jun 25, 2020","27.10","27.07","27.10","27.07","2.37K","-0.07%"
"Jun 24, 2020","27.12","27.07","27.12","27.03","10.29K","-0.07%"
"Jun 23, 2020","27.14","27.16","27.17","27.14","14.84K","-0.07%"
"Jun 22, 2020","27.16","27.16","27.16","27.16","0.20K","0.00%"
"Jun 19, 2020","27.16","27.19","27.19","27.16","1.74K","-0.04%"
"Jun 18, 2020","27.17","27.17","27.18","27.17","2.17K","-0.07%"
"Jun 17, 2020","27.19","27.20","27.20","27.18","2.51K","-0.07%"
"Jun 16, 2020","27.21","27.21","27.21","27.21","0.07K","0.15%"
"Jun 15, 2020","27.17","27.18","27.18","27.17","0.31K","0.04%"
"Jun 12, 2020","27.16","27.14","27.16","27.12","0.74K","0.33%"
"Jun 11, 2020","27.07","27.09","27.09","27.07","1.24K","-0.73%"
"Jun 10, 2020","27.27","27.27","27.27","27.27","0.43K","-0.22%"
"Jun 09, 2020","27.33","27.31","27.35","27.31","2.05K","-0.04%"
"Jun 08, 2020","27.34","27.35","27.35","27.31","0.55K","0.26%"
"Jun 07, 2020","27.27","27.27","27.27","27.27","-","0.00%"
"Jun 05, 2020","27.27","27.31","27.31","27.27","0.62K","0.44%"
"Jun 04, 2020","27.15","27.16","27.22","27.15","0.69K","-0.18%"
"Jun 03, 2020","27.20","27.21","27.22","27.20","0.47K","0.44%"
"Jun 02, 2020","27.08","27.12","27.12","27.08","3.89K","0.00%"
"Jun 01, 2020","27.08","27.05","27.08","27.05","0.14K","0.22%"
"May 29, 2020","27.02","27.02","27.02","27.02","-","0.00%"
"May 28, 2020","27.02","27.01","27.02","26.97","5.02K","-0.04%"
"May 27, 2020","27.03","27.85","27.85","27.00","2.64K","0.19%"
"May 26, 2020","26.98","26.98","26.98","26.98","0.13K","0.41%"
"May 22, 2020","26.87","26.87","26.92","26.87","0.56K","0.19%"
"May 21, 2020","26.82","26.80","26.85","26.79","10.97K","-0.15%"
"May 20, 2020","26.86","26.83","26.88","26.83","13.09K","0.22%"
"May 19, 2020","26.80","26.82","26.83","26.80","1.71K","-0.07%"
"May 18, 2020","26.82","26.79","26.82","26.78","2.54K","0.68%"
"May 15, 2020","26.64","26.62","26.69","26.61","2.63K","-0.11%"
"May 14, 2020","26.67","26.67","26.67","26.67","0.02K","0.19%"
"May 13, 2020","26.62","26.64","26.64","26.61","0.56K","-0.41%"
"May 12, 2020","26.73","26.83","26.84","26.73","3.29K","-0.45%"
"May 11, 2020","26.85","26.82","26.89","26.82","4.68K","-0.04%"
"May 10, 2020","26.86","26.86","26.86","26.86","-","0.00%"
"May 09, 2020","26.86","26.86","26.86","26.86","-","0.00%"
"May 08, 2020","26.86","26.82","26.86","26.82","0.29K","0.30%"
"May 07, 2020","26.78","26.81","26.84","26.76","8.96K","0.26%"
"May 06, 2020","26.71","26.71","26.78","26.71","1.48K","-0.19%"
"May 05, 2020","26.76","26.75","26.82","26.75","2.53K","0.22%"
"May 04, 2020","26.70","26.70","26.70","26.70","0.00K","0.04%"
"May 03, 2020","26.69","26.69","26.69","26.69","-","0.00%"
"May 02, 2020","26.69","26.69","26.69","26.69","-","0.00%"
"May 01, 2020","26.69","26.72","26.72","26.69","0.10K","-0.63%"
"Apr 30, 2020","26.86","26.86","26.86","26.82","3.49K","0.00%"
"Apr 29, 2020","26.86","26.85","26.86","26.85","0.82K","0.34%"
"Apr 28, 2020","26.77","26.79","26.84","26.77","10.82K","-0.11%"
"Apr 27, 2020","26.80","26.75","26.80","26.72","10.73K","0.41%"
"Apr 24, 2020","26.69","26.65","26.69","26.61","7.09K","0.04%"
"Apr 23, 2020","26.68","26.67","26.68","26.67","1.26K","0.04%"
"Apr 22, 2020","26.67","26.73","26.73","26.63","1.73K","0.34%"
"Apr 21, 2020","26.58","26.66","26.66","26.55","1.87K","-0.64%"
"Apr 20, 2020","26.75","26.30","26.77","26.18","19.52K","-0.07%"
"Apr 17, 2020","26.77","26.74","26.77","26.53","14.12K","0.30%"
"Apr 16, 2020","26.69","26.74","26.74","26.64","7.67K","-0.04%"
