Date,Price,Open,High,Low,Vol.,Change %
12/4/20,"1,864.10","1,853.70","1,853.70","1,853.70",0.00K,0.03%
12/3/20,"1,863.60","1,859.60","1,862.30","1,858.80",0.01K,0.57%
12/2/20,"1,853.10","1,848.50","1,848.50","1,848.50",0.00K,0.54%
12/1/20,"1,843.10","1,837.80","1,837.80","1,837.80",0.00K,2.07%
11/30/20,"1,805.70","1,791.40","1,791.40","1,791.40",0.00K,-0.42%
11/27/20,"1,813.30","1,836.70","1,836.80","1,836.70",0.03K,0.35%
11/26/20,"1,807.00","1,806.25","1,816.80","1,804.20",-,-1.58%
11/25/20,"1,836.00","1,835.90","1,835.90","1,825.00",0.11K,-0.08%
11/24/20,"1,837.50","1,826.60","1,828.00","1,826.60",0.01K,-1.80%
11/23/20,"1,871.20","1,850.10","1,850.10","1,850.10",0.00K,-1.76%
11/20/20,"1,904.80","1,889.70","1,893.80","1,889.70",0.00K,0.58%
11/19/20,"1,893.80","1,873.30","1,877.50","1,870.00",0.17K,-0.62%
11/18/20,"1,905.60","1,894.50","1,894.50","1,894.50",0.06K,-0.72%
11/17/20,"1,919.40","1,906.20","1,906.20","1,903.50",0.11K,-0.20%
11/16/20,"1,923.30","1,920.00","1,920.00","1,920.00",0.00K,-0.06%
11/13/20,"1,924.40","1,894.90","1,913.90","1,894.90",0.13K,0.69%
11/12/20,"1,911.30","1,897.50","1,897.50","1,897.50",0.00K,0.66%
11/11/20,"1,898.70","1,886.50","1,886.50","1,886.50",0.01K,-0.85%
11/10/20,"1,915.00","1,900.10","1,900.10","1,900.10",0.00K,1.19%
11/9/20,"1,892.50","1,896.80","1,896.80","1,896.80",0.02K,-4.93%
11/6/20,"1,990.70","1,975.10","1,975.10","1,975.10",0.00K,0.29%
11/5/20,"1,984.90","1,948.40","1,968.30","1,948.40",0.00K,2.65%
11/4/20,"1,933.60","1,936.70","1,936.70","1,936.70",0.00K,-0.69%
11/3/20,"1,947.10","1,912.60","1,928.00","1,912.60",0.22K,0.91%
11/2/20,"1,929.60","1,920.90","1,920.90","1,920.90",0.00K,0.67%
10/30/20,"1,916.80","1,900.50","1,900.50","1,900.50",0.00K,0.60%
10/29/20,"1,905.40","1,907.60","1,907.60","1,907.60",0.01K,-0.63%
10/28/20,"1,917.40","1,909.70","1,909.70","1,909.70",0.00K,-1.70%
10/27/20,"1,950.50","1,921.40","1,933.50","1,921.40",0.06K,0.31%
10/26/20,"1,944.50","1,919.00","1,926.10","1,919.00",0.06K,0.10%
10/23/20,"1,942.60","1,926.30","1,926.40","1,924.60",0.04K,0.05%
10/22/20,"1,941.60","1,940.50","1,940.50","1,907.60",0.18K,-1.24%
10/21/20,"1,966.00","1,925.10","1,948.60","1,925.10",0.16K,0.72%
10/20/20,"1,952.00","1,922.90","1,936.60","1,921.90",0.11K,0.17%
10/19/20,"1,948.70","1,941.90","1,941.90","1,941.90",0.12K,0.25%
10/16/20,"1,943.90","1,934.40","1,934.40","1,927.50",0.06K,-0.12%
10/15/20,"1,946.30","1,923.20","1,923.20","1,919.20",0.00K,0.04%
10/14/20,"1,945.50","1,929.40","1,929.40","1,926.70",0.25K,0.70%
10/13/20,"1,932.00","1,939.90","1,939.90","1,939.90",0.01K,-1.74%
10/12/20,"1,966.20","1,953.50","1,957.70","1,948.70",0.01K,0.14%
10/9/20,"1,963.50","1,930.50","1,956.20","1,929.50",0.01K,1.58%
10/8/20,"1,933.00","1,902.80","1,916.20","1,899.00",0.00K,0.31%
10/7/20,"1,927.00","1,918.10","1,918.10","1,918.10",0.01K,-0.86%
10/6/20,"1,943.80","1,937.20","1,942.20","1,900.50",0.10K,-0.55%
10/5/20,"1,954.50","1,946.50","1,946.50","1,946.50",0.00K,0.65%
10/2/20,"1,941.90","1,929.60","1,933.70","1,921.30",0.12K,-0.45%
10/1/20,"1,950.70","1,927.60","1,935.50","1,921.20",0.18K,1.06%
