Date,Open,High,Low,Close,Adj Close,Volume
2010-04-21,14.970000,14.970000,14.890000,14.900000,11.779627,2600
2010-04-22,14.900000,14.900000,14.830000,14.850000,11.740098,1900
2010-04-23,15.090000,15.120000,15.090000,15.120000,11.953554,1400
2010-04-26,15.240000,15.240000,15.180000,15.180000,12.000988,17200
2010-04-27,15.050000,15.050000,14.920000,14.920000,11.795439,1800
2010-04-28,14.990000,14.990000,14.870000,14.870000,11.755910,2600
2010-04-29,14.960000,15.050000,14.920000,15.020000,11.874496,2700
2010-04-30,15.140000,15.140000,15.020000,15.020000,11.874496,1400
2010-05-03,15.060000,15.060000,14.970000,15.030000,11.882403,1700
2010-05-04,14.700000,14.700000,14.570000,14.640000,11.574078,800
2010-05-05,14.480000,14.480000,14.420000,14.420000,11.400148,5200
2010-05-06,14.430000,14.430000,13.950000,13.950000,11.028575,10100
2010-05-07,14.340000,14.340000,14.270000,14.300000,11.305281,1600
2010-05-10,14.760000,14.760000,14.630000,14.690000,11.613605,14200
2010-05-11,14.320000,14.520000,14.290000,14.290000,11.297374,14400
2010-05-12,14.440000,14.650000,14.440000,14.650000,11.581983,3500
2010-05-13,14.650000,14.650000,14.650000,14.650000,11.581983,0
2010-05-14,14.460000,14.460000,14.120000,14.220000,11.242034,2500
2010-05-17,14.240000,14.240000,14.150000,14.170000,11.202504,3500
2010-05-18,14.330000,14.330000,14.000000,14.000000,11.068106,1700
2010-05-19,13.890000,14.000000,13.250000,14.000000,11.068106,6800
2010-05-20,13.500000,13.750000,13.500000,13.650000,10.791404,4300
2010-05-21,13.990000,13.990000,13.990000,13.990000,11.060201,1200
2010-05-25,13.630000,13.630000,13.440000,13.510000,10.680722,4700
2010-05-26,13.860000,13.860000,13.660000,13.660000,10.799309,3500
2010-05-27,14.150000,14.210000,13.970000,14.150000,11.186693,55600
2010-05-28,14.140000,14.140000,13.760000,13.960000,11.036483,1800
2010-05-31,14.130000,14.130000,14.090000,14.090000,11.139257,1100
2010-06-01,14.050000,14.050000,14.050000,14.050000,11.107635,300
2010-06-02,13.800000,14.170000,13.790000,14.170000,11.202504,17000
2010-06-03,14.060000,14.060000,13.790000,13.950000,11.028575,4200
2010-06-04,13.890000,13.890000,13.830000,13.880000,10.973237,3700
