Date,Open,High,Low,Close,Adj Close,Volume
2009-11-24,50.189999,50.230000,50.180000,50.220001,38.523487,11400
2009-11-25,50.250000,50.250000,50.220001,50.230000,38.531162,15600
2009-11-27,50.290001,50.310001,50.290001,50.310001,38.592548,600
2009-11-30,50.320000,50.389999,50.320000,50.389999,38.653912,2400
2009-12-01,50.380001,50.380001,50.299999,50.299999,38.584850,4400
2009-12-02,50.270000,50.299999,50.250000,50.250000,38.546509,4900
2009-12-03,50.200001,50.310001,50.189999,50.200001,38.508179,57400
2009-12-04,50.110001,50.150002,50.060001,50.150002,38.469799,2500
2009-12-07,50.189999,50.250000,50.189999,50.250000,38.546509,3700
2009-12-08,50.270000,50.290001,50.259998,50.290001,38.577198,24900
2009-12-09,50.259998,50.299999,50.259998,50.259998,38.554195,27200
2009-12-10,50.200001,50.240002,50.200001,50.220001,38.523487,2000
2009-12-11,50.150002,50.189999,50.150002,50.189999,38.500500,700
2009-12-14,50.180000,50.209999,50.169998,50.169998,38.485146,2300
2009-12-15,50.090000,50.110001,50.009998,50.090000,38.423786,6100
2009-12-16,50.130001,50.130001,50.060001,50.119999,38.446804,5000
2009-12-17,50.209999,50.279999,50.209999,50.279999,38.569500,2900
2009-12-18,50.139999,50.150002,50.139999,50.150002,38.469799,16200
2009-12-21,50.220001,50.220001,49.950001,49.950001,38.316391,7900
2009-12-22,49.869999,49.889999,49.810001,49.810001,38.208977,5500
2009-12-23,49.810001,49.880001,49.810001,49.880001,38.262676,1400
2009-12-24,49.709999,49.720001,49.650002,49.689999,38.191971,3300
2009-12-28,49.689999,49.689999,49.560001,49.570000,38.099747,400
2009-12-29,49.650002,49.660000,49.650002,49.660000,38.168915,900
2009-12-30,49.669998,49.680000,49.669998,49.680000,38.184277,400
2009-12-31,49.570000,49.590000,49.549999,49.549999,38.084393,3000
2010-01-04,49.689999,49.700001,49.689999,49.700001,38.199673,800
2010-01-05,49.790001,49.810001,49.770000,49.810001,38.284195,800
2010-01-06,49.880001,49.880001,49.790001,49.810001,38.284195,32500
2010-01-07,49.849998,49.869999,49.820000,49.830002,38.299610,92400
2010-01-08,49.830002,49.830002,49.830002,49.830002,38.299610,0
2010-01-11,49.830002,49.910000,49.830002,49.869999,38.330338,4400
2010-01-12,49.980000,50.029999,49.970001,50.020000,38.445614,54400
2010-01-13,49.900002,49.990002,49.900002,49.970001,38.407196,54400
2010-01-14,49.930000,49.959999,49.930000,49.950001,38.391815,1000
2010-01-15,50.040001,50.160000,50.040001,50.139999,38.537823,4100
2010-01-19,50.150002,50.150002,50.080002,50.130001,38.530167,7700
2010-01-20,50.160000,50.189999,50.119999,50.169998,38.560909,7300
2010-01-21,50.169998,50.230000,50.169998,50.220001,38.599331,6300
2010-01-22,50.200001,50.200001,50.160000,50.169998,38.560909,4900
2010-01-25,50.160000,50.169998,50.160000,50.169998,38.560909,1100
2010-01-26,50.230000,50.250000,50.189999,50.189999,38.576298,1000
2010-01-27,50.230000,50.230000,50.230000,50.230000,38.607010,300
2010-01-28,50.160000,50.240002,50.160000,50.240002,38.614700,4700
2010-01-29,50.169998,50.169998,50.169998,50.169998,38.643223,300
2010-02-01,50.189999,50.189999,50.099998,50.169998,38.643223,9200
2010-02-02,50.160000,50.180000,50.130001,50.130001,38.612419,2100
2010-02-03,50.150002,50.150002,50.119999,50.139999,38.620079,3000
2010-02-04,50.130001,50.259998,50.130001,50.259998,38.712528,400
2010-02-05,50.299999,50.340000,50.279999,50.320000,38.758743,2100
2010-02-08,50.279999,50.279999,50.279999,50.279999,38.727921,500
2010-02-09,50.279999,50.279999,50.259998,50.259998,38.712528,2200
2010-02-10,50.240002,50.250000,50.180000,50.189999,38.658630,1700
2010-02-11,50.110001,50.119999,50.060001,50.080002,38.573875,1200
2010-02-12,50.130001,50.130001,50.119999,50.130001,38.612419,1800
2010-02-16,50.070000,50.160000,50.070000,50.139999,38.620079,6000
2010-02-17,50.290001,50.290001,50.070000,50.080002,38.573875,1600
2010-02-18,50.090000,50.090000,49.990002,50.009998,38.519966,5000
2010-02-19,49.959999,49.990002,49.950001,49.990002,38.504562,5900
2010-02-22,50.000000,50.060001,50.000000,50.060001,38.558495,2800
2010-02-23,50.130001,50.189999,50.130001,50.189999,38.658630,5300
2010-02-24,50.169998,50.169998,50.110001,50.130001,38.612419,1300
2010-02-25,50.119999,50.169998,50.119999,50.130001,38.612419,5600
2010-02-26,49.970001,50.040001,49.970001,50.020000,38.613941,4100
2010-03-01,49.959999,50.060001,49.959999,50.029999,38.621677,1900
2010-03-02,50.020000,50.029999,50.020000,50.029999,38.621677,600
2010-03-03,50.169998,50.230000,50.169998,50.230000,38.776043,2300
2010-03-04,50.279999,50.279999,50.259998,50.279999,38.814636,1100
2010-03-05,50.250000,50.250000,50.189999,50.240002,38.783768,3900
2010-03-08,50.220001,50.250000,50.220001,50.240002,38.783768,2900
2010-03-09,50.290001,50.310001,50.270000,50.290001,38.822388,4400
2010-03-10,50.189999,50.279999,50.180000,50.270000,38.806911,5200
2010-03-11,50.220001,50.250000,50.189999,50.240002,38.783768,30200
2010-03-12,50.250000,50.299999,50.240002,50.299999,38.830097,9100
2010-03-15,50.279999,50.299999,50.279999,50.299999,38.830097,2400
2010-03-16,50.290001,50.480000,50.279999,50.480000,38.969028,23600
2010-03-17,50.340000,50.369999,50.299999,50.369999,38.884151,6400
2010-03-18,50.320000,50.330002,50.320000,50.330002,38.853256,600
2010-03-19,50.400002,50.400002,50.340000,50.400002,38.907299,2100
2010-03-22,50.430000,50.459999,50.419998,50.459999,38.953625,21400
2010-03-23,50.439999,50.560001,50.439999,50.560001,39.030811,10300
2010-03-24,50.500000,50.500000,50.290001,50.290001,38.822388,3400
2010-03-25,50.150002,50.230000,50.150002,50.230000,38.776043,1500
2010-03-26,50.270000,50.320000,50.110001,50.130001,38.698872,33600
2010-03-29,50.180000,50.220001,50.130001,50.160000,38.722004,2500
2010-03-30,50.180000,50.200001,50.049999,50.180000,38.737450,3600
2010-03-31,50.000000,50.090000,49.959999,50.060001,38.702667,1700
2010-04-01,50.040001,50.060001,49.970001,50.060001,38.702667,1400
2010-04-05,49.980000,49.980000,49.910000,49.910000,38.586708,1700
2010-04-06,49.869999,49.919998,49.820000,49.910000,38.586708,1800
2010-04-07,50.040001,50.150002,49.950001,50.049999,38.694954,3100
2010-04-08,50.119999,50.150002,50.119999,50.150002,38.772255,200
2010-04-09,49.970001,49.970001,49.970001,49.970001,38.633087,500
2010-04-12,50.189999,50.279999,50.090000,50.209999,38.818649,3100
2010-04-13,50.279999,50.279999,50.200001,50.220001,38.826363,1700
2010-04-14,50.259998,50.259998,50.060001,50.060001,38.702667,3200
2010-04-15,50.180000,50.220001,50.080002,50.090000,38.725861,10400
2010-04-16,50.299999,50.299999,50.150002,50.200001,38.810909,1300
2010-04-19,50.180000,50.240002,50.180000,50.189999,38.803192,7100
2010-04-20,50.169998,50.189999,50.020000,50.189999,38.803192,8000
2010-04-21,50.099998,50.279999,50.070000,50.130001,38.756794,26200
2010-04-22,50.169998,50.169998,50.029999,50.029999,38.679459,21700
2010-04-23,50.070000,50.160000,50.070000,50.160000,38.779984,600
2010-04-26,50.230000,50.230000,50.160000,50.189999,38.803192,2400
2010-04-27,50.340000,50.340000,50.290001,50.320000,38.903679,1100
2010-04-28,50.230000,50.360001,50.070000,50.099998,38.733597,5800
2010-04-29,50.340000,50.340000,50.169998,50.220001,38.826363,4800
2010-04-30,50.250000,50.330002,50.160000,50.209999,38.876705,12300
2010-05-03,50.259998,50.279999,50.119999,50.230000,38.892193,11100
2010-05-04,50.380001,50.380001,50.230000,50.290001,38.938629,1600
2010-05-05,50.320000,50.450001,49.820000,50.330002,38.969624,27100
2010-05-06,50.540001,53.200001,50.540001,53.200001,41.191807,900
2010-05-07,50.419998,50.509998,50.419998,50.500000,39.101250,1900
2010-05-10,50.610001,50.610001,50.360001,50.360001,38.992840,1900
2010-05-11,50.340000,50.430000,50.340000,50.389999,39.016075,44500
2010-05-12,50.470001,50.480000,50.459999,50.480000,39.085762,2000
2010-05-13,50.570000,50.570000,50.549999,50.549999,39.139938,800
2010-05-14,50.660000,50.680000,50.599998,50.599998,39.178654,5800
2010-05-17,50.830002,50.830002,50.669998,50.669998,39.232880,3800
2010-05-18,50.630001,50.759998,50.630001,50.750000,39.294796,5500
2010-05-19,50.700001,50.770000,50.680000,50.770000,39.310280,4100
2010-05-20,51.099998,51.099998,50.740002,50.770000,39.310280,5000
2010-05-21,50.849998,50.950001,50.790001,50.910000,39.418697,3700
2010-05-24,50.889999,50.889999,50.680000,50.730000,39.279327,2700
2010-05-25,50.910000,50.919998,50.740002,50.830002,39.356781,32700
2010-05-26,50.939999,50.939999,50.730000,50.730000,39.279327,2000
2010-05-27,50.779999,50.810001,50.630001,50.770000,39.310280,2400
2010-05-28,50.730000,50.750000,50.720001,50.740002,39.352169,1000
2010-06-01,50.619999,50.759998,50.619999,50.750000,39.359932,1600
2010-06-02,50.810001,50.810001,50.790001,50.790001,39.390968,1000
2010-06-03,50.720001,50.820000,50.689999,50.820000,39.414234,44100
2010-06-04,50.930000,50.990002,50.910000,50.990002,39.546040,2800
2010-06-07,50.990002,51.000000,50.910000,50.990002,39.546040,1300
2010-06-08,51.049999,51.060001,50.970001,51.000000,39.553833,1500
2010-06-09,50.919998,50.919998,50.919998,50.919998,39.491776,400
2010-06-10,50.939999,50.939999,50.750000,50.750000,39.359932,2500
2010-06-11,50.860001,51.000000,50.860001,51.000000,39.553833,2500
2010-06-14,50.939999,51.000000,50.900002,51.000000,39.553833,2600
2010-06-15,50.889999,51.000000,50.869999,50.869999,39.452988,413500
2010-06-16,50.900002,50.980000,50.900002,50.970001,39.530556,800
2010-06-17,51.080002,51.119999,51.020000,51.119999,39.646877,3600
2010-06-18,51.029999,51.139999,51.029999,51.119999,39.646877,11100
2010-06-21,51.119999,51.130001,51.000000,51.130001,39.654655,4500
2010-06-22,51.160000,51.209999,51.160000,51.189999,39.701180,1400
2010-06-23,51.279999,51.290001,51.200001,51.290001,39.778728,9900
2010-06-24,51.250000,51.250000,51.160000,51.169998,39.685692,9500
2010-06-25,51.209999,51.279999,51.169998,51.259998,39.755486,1100
2010-06-28,51.380001,51.380001,51.279999,51.369999,39.840778,2100
2010-06-29,51.410000,51.410000,51.299999,51.310001,39.794239,3500
2010-06-30,51.130001,51.189999,51.130001,51.180000,39.766277,1500
2010-07-01,51.110001,51.200001,51.110001,51.189999,39.774048,17000
2010-07-02,51.150002,51.160000,51.150002,51.150002,39.742981,2300
2010-07-06,51.150002,51.240002,51.150002,51.240002,39.812885,4200
2010-07-07,51.240002,51.240002,51.189999,51.209999,39.789581,2500
2010-07-08,51.209999,51.270000,51.209999,51.259998,39.828453,4300
2010-07-09,51.290001,51.290001,51.290001,51.290001,39.851738,100
2010-07-12,51.310001,51.349998,51.240002,51.340000,39.890606,58500
2010-07-13,51.310001,54.340000,51.209999,51.310001,39.867294,30200
2010-07-14,51.340000,51.400002,51.290001,51.400002,39.937195,2500
2010-07-15,51.410000,51.450001,51.389999,51.389999,39.929443,18800
2010-07-16,51.470001,51.470001,51.470001,51.470001,39.991573,300
