Date,Price,Open,High,Low,Vol.,Change %
12/4/20,"3,699.12","3,670.94","3,699.20","3,670.94",-,0.88%
12/3/20,"3,666.72","3,668.28","3,682.73","3,657.17",-,-0.06%
12/2/20,"3,669.01","3,653.78","3,670.96","3,644.84",-,0.18%
12/1/20,"3,662.45","3,645.87","3,678.45","3,645.87",-,1.13%
11/30/20,"3,621.63","3,634.18","3,634.18","3,594.39",-,-0.46%
11/27/20,"3,638.35","3,638.55","3,644.31","3,629.33",-,0.24%
11/25/20,"3,629.65","3,635.50","3,635.50","3,617.76",-,-0.16%
11/24/20,"3,635.41","3,594.52","3,642.31","3,594.52",-,1.62%
11/23/20,"3,577.59","3,566.82","3,589.81","3,552.77",-,0.56%
11/20/20,"3,557.54","3,579.31","3,581.23","3,556.85",-,-0.68%
11/19/20,"3,581.87","3,559.41","3,585.22","3,543.84",-,0.39%
11/18/20,"3,567.79","3,612.09","3,619.09","3,567.33",-,-1.16%
11/17/20,"3,609.53","3,610.31","3,623.11","3,588.68",-,-0.48%
11/16/20,"3,626.91","3,600.16","3,628.51","3,600.16",-,1.16%
11/13/20,"3,585.15","3,552.57","3,593.66","3,552.57",-,1.36%
11/12/20,"3,537.01","3,562.67","3,569.02","3,518.58",-,-1.00%
11/11/20,"3,572.66","3,563.22","3,581.16","3,557.00",-,0.77%
11/10/20,"3,545.53","3,543.26","3,557.22","3,511.91",-,-0.14%
11/9/20,"3,550.50","3,583.04","3,645.99","3,547.48",-,1.17%
11/6/20,"3,509.44","3,508.34","3,521.58","3,484.34",-,-0.03%
11/5/20,"3,510.45","3,485.74","3,529.05","3,485.74",-,1.95%
11/4/20,"3,443.44","3,406.46","3,486.25","3,405.17",-,2.20%
11/3/20,"3,369.16","3,336.25","3,389.49","3,336.25",-,1.78%
11/2/20,"3,310.24","3,296.20","3,330.14","3,279.74",-,1.23%
10/30/20,"3,269.96","3,293.59","3,304.93","3,233.94",-,-1.21%
10/29/20,"3,310.11","3,277.17","3,341.05","3,259.82",-,1.19%
10/28/20,"3,271.03","3,342.48","3,342.48","3,268.89",-,-3.53%
10/27/20,"3,390.68","3,403.15","3,409.51","3,388.71",-,-0.30%
10/26/20,"3,400.97","3,441.42","3,441.42","3,364.86",-,-1.86%
10/23/20,"3,465.39","3,464.90","3,466.46","3,440.45",-,0.34%
10/22/20,"3,453.49","3,438.50","3,460.53","3,415.34",-,0.52%
10/21/20,"3,435.56","3,439.91","3,464.86","3,433.06",-,-0.22%
10/20/20,"3,443.12","3,439.38","3,476.93","3,435.65",-,0.47%
10/19/20,"3,426.92","3,493.66","3,502.42","3,419.93",-,-1.63%
10/16/20,"3,483.81","3,493.50","3,515.76","3,480.45",-,0.01%
10/15/20,"3,483.34","3,453.72","3,489.08","3,440.89",-,-0.15%
10/14/20,"3,488.67","3,515.47","3,527.94","3,480.55",-,-0.66%
10/13/20,"3,511.93","3,534.01","3,534.01","3,500.86",-,-0.63%
10/12/20,"3,534.22","3,500.02","3,549.85","3,499.61",-,1.64%
10/9/20,"3,477.13","3,459.67","3,482.34","3,458.07",-,0.88%
10/8/20,"3,446.83","3,434.28","3,447.28","3,428.15",-,0.80%
10/7/20,"3,419.45","3,384.56","3,426.26","3,384.56",-,1.74%
10/6/20,"3,360.95","3,408.74","3,431.56","3,354.54",-,-1.40%
10/5/20,"3,408.63","3,367.27","3,409.57","3,367.27",-,1.80%
10/2/20,"3,348.44","3,338.94","3,369.10","3,323.69",-,-0.96%
10/1/20,"3,380.80","3,385.87","3,397.18","3,361.39",-,0.53%
9/30/20,"3,363.00","3,341.21","3,393.56","3,340.47",-,0.83%
9/29/20,"3,335.47","3,350.92","3,357.92","3,327.54",-,-0.48%
9/28/20,"3,351.60","3,333.90","3,360.74","3,332.91",-,1.61%
9/25/20,"3,298.46","3,236.66","3,306.88","3,228.44",-,1.60%
9/24/20,"3,246.59","3,226.14","3,278.70","3,209.45",-,0.30%
9/23/20,"3,236.92","3,320.11","3,323.35","3,232.57",-,-2.37%
9/22/20,"3,315.57","3,295.75","3,320.31","3,270.95",-,1.05%
9/21/20,"3,281.06","3,285.57","3,285.57","3,229.10",-,-1.16%
9/18/20,"3,319.47","3,357.38","3,362.27","3,292.40",-,-1.12%
9/17/20,"3,357.01","3,346.86","3,375.17","3,328.82",-,-0.84%
9/16/20,"3,385.49","3,411.23","3,428.92","3,384.45",-,-0.46%
9/15/20,"3,401.20","3,407.73","3,419.48","3,389.25",-,0.52%
9/14/20,"3,383.54","3,363.56","3,402.93","3,363.56",-,1.27%
9/11/20,"3,340.97","3,352.70","3,368.95","3,310.47",-,0.05%
9/10/20,"3,339.19","3,412.56","3,425.55","3,329.25",-,-1.76%
9/9/20,"3,398.96","3,369.82","3,424.77","3,366.84",-,2.01%
9/8/20,"3,331.84","3,371.88","3,379.97","3,329.27",-,-2.78%
9/4/20,"3,426.96","3,453.60","3,479.15","3,349.63",-,-0.81%
9/3/20,"3,455.06","3,564.74","3,564.85","3,427.41",-,-3.51%
9/2/20,"3,580.84","3,543.76","3,588.11","3,535.23",-,1.54%
9/1/20,"3,526.65","3,507.44","3,528.03","3,494.60",-,0.75%
8/31/20,"3,500.31","3,509.73","3,514.77","3,493.25",-,-0.22%
8/28/20,"3,508.01","3,494.69","3,509.23","3,484.32",-,0.67%
8/27/20,"3,484.55","3,485.14","3,501.38","3,468.35",-,0.17%
8/26/20,"3,478.73","3,449.97","3,481.07","3,444.15",-,1.02%
8/25/20,"3,443.62","3,435.95","3,444.21","3,425.84",-,0.36%
8/24/20,"3,431.28","3,418.09","3,432.09","3,413.13",-,1.00%
8/21/20,"3,397.16","3,386.01","3,399.96","3,379.31",-,0.34%
8/20/20,"3,385.51","3,360.48","3,390.80","3,354.69",-,0.32%
8/19/20,"3,374.85","3,392.51","3,399.54","3,369.66",-,-0.44%
8/18/20,"3,389.78","3,387.04","3,395.06","3,370.15",-,0.23%
8/17/20,"3,381.99","3,380.86","3,387.59","3,379.22",-,0.27%
8/14/20,"3,372.85","3,368.66","3,378.51","3,361.64",-,-0.02%
