Date,Price,Open,High,Low,Vol.,Change %
12/4/20,417,422.25,422.75,415.75,1.68K,-1.30%
12/3/20,422.5,419.25,423.25,417.75,2.38K,0.84%
12/2/20,419,414.5,419.75,409,3.55K,1.02%
12/1/20,414.75,420,423,414,5.32K,-1.19%
11/30/20,419.75,427.5,430.5,418.25,14.70K,-1.35%
11/27/20,425.5,420.25,426.25,418.5,68.26K,1.31%
11/25/20,420,426,427.5,420,124.26K,-1.35%
11/24/20,425.75,425.75,426.5,416.5,144.30K,-0.18%
11/23/20,426.5,427.5,429.75,423.5,153.80K,0.77%
11/20/20,423.25,422.25,428,421.5,137.24K,0.18%
11/19/20,422.5,424.5,425.5,418.75,133.31K,-0.76%
11/18/20,425.75,419,428.5,418.5,205.43K,1.31%
11/17/20,420.25,417.5,422,417.25,156.57K,0.96%
11/16/20,416.25,409,416.75,409,132.12K,1.40%
11/13/20,410.5,407.5,413.25,403.75,188.49K,0.55%
11/12/20,408.25,417.25,418.5,406.25,234.33K,-2.16%
11/11/20,417.25,422.5,428,416.25,306.43K,-1.36%
11/10/20,423,407,427.25,406.25,355.81K,3.80%
11/9/20,407.5,405.75,410,401.75,204.11K,0.18%
11/6/20,406.75,409,412,405.75,200.68K,-0.61%
11/5/20,409.25,405,417.25,404,245.19K,0.99%
11/4/20,405.25,400,406,396.5,176.33K,1.06%
11/3/20,401,396.25,403.25,395.25,184.36K,0.88%
11/2/20,397.5,396,397.75,393,165.15K,-0.25%
10/30/20,398.5,397.25,400,394.25,209.48K,0.00%
10/29/20,398.5,401,404.25,393,279.41K,-0.75%
10/28/20,401.5,415,415.25,400.5,320.26K,-3.49%
10/27/20,416,416.75,422.25,415.5,207.08K,-0.42%
10/26/20,417.75,419.25,419.75,412.75,206.16K,-0.36%
10/23/20,419.25,415,420,414,168.92K,0.72%
10/22/20,416.25,413.75,419,410.75,196.23K,0.60%
10/21/20,413.75,408.25,415.25,407.75,216.17K,1.22%
10/20/20,408.75,404.25,409.75,403.5,179.89K,0.86%
10/19/20,405.25,401.75,406.75,400.75,167.47K,0.81%
10/16/20,402,403.25,409,401.75,226.81K,-0.43%
10/15/20,403.75,396,404.25,393.5,245.38K,1.83%
10/14/20,396.5,391,397.5,388,183.51K,1.34%
10/13/20,391.25,389,392.75,388,130.27K,0.58%
10/12/20,389,395.5,399.25,387.25,193.54K,-1.52%
10/9/20,395,387,398.25,386.5,280.95K,2.07%
10/8/20,387,389,394.5,386.5,202.96K,-0.45%
10/7/20,388.75,384.5,392,384,186.78K,0.97%
10/6/20,385,378.5,389.25,378.5,213.44K,1.45%
10/5/20,379.5,378.75,382.5,377.75,119.04K,-0.07%
10/2/20,379.75,381.5,383.25,377.25,164.09K,-0.78%
10/1/20,382.75,379,385.5,378,216.36K,0.99%
9/30/20,379,364.25,382.75,362,337.54K,3.91%
9/29/20,364.75,366.75,367.75,361,137.62K,-0.55%
9/28/20,366.75,364.25,369.75,360.5,162.09K,0.41%
9/25/20,365.25,363.25,367.5,363,130.07K,0.48%
9/24/20,363.5,368,368.25,363,152.37K,-1.36%
9/23/20,368.5,368.25,370.25,365.75,122.19K,-0.20%
9/22/20,369.25,369.75,373.25,365.75,159.15K,-0.14%
9/21/20,369.75,377.5,378.25,368.25,209.55K,-2.31%
9/18/20,378.5,374.25,379.25,373.25,180.03K,0.87%
9/17/20,375.25,371.5,377.25,368,235.21K,0.94%
9/16/20,371.75,365.5,372,361.75,158.94K,1.57%
9/15/20,366,369,369.5,365.25,133.02K,2.38%
9/14/20,357.5,366.75,366.75,359,0.22K,-2.05%
9/11/20,365,355.5,366,355.5,0.68K,2.17%
9/10/20,357.25,349.75,357.75,349.75,0.67K,2.07%
9/9/20,350,349.75,351.25,348.5,0.11K,-0.28%
9/8/20,351,348,353,346,0.87K,1.89%
9/7/20,344.5,344.5,344.5,344.5,-,-0.79%
9/4/20,347.25,344,349,343.5,1.68K,0.80%
9/3/20,344.5,349.75,350,343.75,1.45K,-1.50%
9/2/20,349.75,349.25,350.5,345.25,2.61K,0.07%
9/1/20,349.5,347.75,350,343.25,3.70K,0.29%
8/31/20,348.5,348.75,353,346,11.03K,0.72%
8/28/20,346,343.25,347.75,340.75,94.06K,0.51%
8/27/20,344.25,340,344.75,339,123.79K,1.10%
8/26/20,340.5,340.25,341.25,337.25,89.22K,-0.07%
8/25/20,340.75,335,341.5,334.75,147.00K,2.71%
8/24/20,331.75,328,332.5,327.5,126.82K,1.45%
8/21/20,327,324.75,327.75,324.25,134.88K,0.77%
8/20/20,324.5,324.25,325.75,320.75,92.74K,-0.15%
8/19/20,325,326,327.25,323.5,87.62K,-0.61%
8/18/20,327,330,332,325.75,130.09K,-1.21%
8/17/20,331,327,331,326.5,111.93K,2.00%
8/14/20,324.5,324.5,325.25,321.5,160.38K,-0.23%
8/13/20,325.25,315,327.5,314.75,317.36K,3.42%
8/12/20,314.5,311.25,315,308,209.80K,0.96%
8/11/20,311.5,311.25,315,310.25,170.71K,0.32%
8/10/20,310.5,307.5,311.75,307.5,167.51K,0.89%
8/7/20,307.75,311,311.75,307.25,124.48K,-1.12%
8/6/20,311.25,310.5,312.75,309.5,106.03K,0.08%
8/5/20,311,309,311.25,309,103.36K,0.89%
8/4/20,308.25,316.5,316.75,308.25,161.83K,-2.91%
8/3/20,317.5,315,318.25,315,83.19K,0.47%
7/31/20,316,315.75,317.5,314.5,77.06K,0.08%
7/30/20,315.75,315.5,319.25,315.25,120.45K,0.08%
7/29/20,315.5,320,321.5,315.25,136.66K,-1.41%
7/28/20,320,323,323.5,320,110.74K,-1.54%
7/27/20,325,325.25,327.5,323.25,96.02K,-0.38%
7/24/20,326.25,328,329.75,325.5,144.24K,-0.53%
7/23/20,328,327.25,329.5,325,92.65K,0.15%
7/22/20,327.5,323,328,322.25,122.91K,1.47%
7/21/20,322.75,327.75,327.75,322,132.25K,-1.68%
7/20/20,328.25,333,333.5,326,105.21K,-1.43%
7/17/20,333,330.25,334.75,330.25,83.69K,0.83%
7/16/20,330.25,326,333.25,326,109.53K,1.23%
7/15/20,326.25,326,328.75,322.75,101.70K,-2.54%
7/14/20,334.75,334,336.5,324.5,0.15K,0.22%
7/13/20,334,337.25,337.25,332,0.44K,-1.91%
7/10/20,340.5,350.25,352,340,0.81K,-3.06%
7/9/20,351.25,349,356.5,348.25,0.50K,0.86%
7/8/20,348.25,343.5,348.5,341,0.35K,0.94%
7/7/20,345,347.5,347.5,341.75,1.27K,-0.43%
7/6/20,346.5,348.25,349,345.25,2.09K,1.17%
7/2/20,342.5,347.5,350.25,342.25,2.49K,-1.65%
7/1/20,348.25,338.5,351.25,337.5,4.58K,2.88%
6/30/20,338.5,325.25,342,323.75,21.41K,3.75%
6/29/20,326.25,316.75,326.5,316,150.22K,2.92%
6/26/20,317,317,319.75,313.5,216.58K,-0.08%
6/25/20,317.25,323.5,324.25,315,194.69K,-2.16%
6/24/20,324.25,324.5,329,323.75,180.31K,-0.23%
6/23/20,325,327.5,327.5,321.25,185.86K,-0.99%
6/22/20,328.25,332,332.25,328,134.48K,-1.28%
6/19/20,332.5,329.75,333.75,327.5,170.57K,0.45%
6/18/20,331,329.75,333.75,328.75,201.44K,0.23%
6/17/20,330.25,328,331.25,325,225.64K,0.38%
6/16/20,329,331.75,334.5,328,229.10K,-0.08%
6/15/20,329.25,329.25,330,325.5,170.74K,-0.23%
6/12/20,330,329.5,333,328.25,236.62K,0.08%
