Date,Price,Open,High,Low,Vol.,Change %
12/4/20,566.5,563.75,564.75,563.75,0.06K,-0.92%
12/3/20,571.75,573.5,576,568,0.16K,-1.08%
12/2/20,578,565.5,578.75,565.5,0.08K,2.21%
12/1/20,565.5,580.75,580.75,563.5,0.54K,-2.54%
11/30/20,580.25,599.5,600,579.5,1.05K,-2.72%
11/27/20,596.5,592.25,600.25,589.25,7.30K,1.47%
11/26/20,587.88,587.75,587.88,587.62,-,-0.06%
11/25/20,588.25,612.75,616.5,587,23.90K,-3.76%
11/24/20,611.25,599.5,612.25,594,19.74K,2.09%
11/23/20,598.75,596,604.75,595.75,22.14K,0.93%
11/20/20,593.25,590,598.25,590,36.85K,0.25%
11/19/20,591.75,598.75,600.25,589.75,42.21K,-1.00%
11/18/20,597.75,595.75,604.25,592.5,61.56K,0.42%
11/17/20,595.25,598,603.25,592.5,73.20K,-0.46%
11/16/20,598,593.75,601,586,87.08K,0.76%
11/13/20,593.5,586.25,596.25,580.25,77.40K,0.89%
11/12/20,588.25,596.25,598.75,587,91.05K,-1.63%
11/11/20,598,607,613.5,595.5,107.81K,-1.73%
11/10/20,608.5,597.25,613,594,134.34K,1.84%
11/9/20,597.5,602.25,607,595,91.44K,-0.75%
11/6/20,602,607.75,615.75,601.75,105.36K,-1.19%
11/5/20,609.25,606.5,626.25,606,97.07K,0.54%
11/4/20,606,607.75,610.5,597.75,66.08K,-0.33%
11/3/20,608,607,616.5,604,70.89K,0.08%
11/2/20,607.5,593.25,609.5,591,75.09K,1.50%
10/30/20,598.5,602,607.25,595.25,72.81K,-0.87%
10/29/20,603.75,609.75,611.25,598.5,69.89K,-0.82%
10/28/20,608.75,614.5,614.5,600.75,72.24K,-1.14%
10/27/20,615.75,618.75,627,614.75,63.49K,-0.69%
10/26/20,620,632.75,633,616,66.90K,-2.02%
10/23/20,632.75,623,635.5,619.5,64.24K,1.61%
10/22/20,622.75,628.5,632.25,621.25,63.70K,-1.11%
10/21/20,629.75,634.5,637.5,628.75,61.38K,-0.36%
10/20/20,632,628.5,638.25,623.5,78.90K,0.80%
10/19/20,627,631,636.75,620.25,86.96K,0.28%
10/16/20,625.25,618.5,630.75,615.5,90.62K,1.13%
10/15/20,618.25,596.75,619.5,596.5,90.30K,3.60%
10/14/20,596.75,594.75,600.25,587.25,58.37K,0.46%
10/13/20,594,596.25,604.25,590.75,56.42K,-0.04%
10/12/20,594.25,592.5,599,587,63.84K,0.08%
10/9/20,593.75,594,606.75,588.75,88.06K,-0.25%
10/8/20,595.25,608.75,616.75,593.25,95.30K,-2.02%
10/7/20,607.5,591.25,611.5,588.5,102.22K,2.49%
10/6/20,592.75,585,601.75,579.75,83.09K,1.45%
10/5/20,584.25,574.5,587.75,573,60.42K,1.92%
10/2/20,573.25,569.25,576.5,561.25,54.24K,0.53%
10/1/20,570.25,574,584,568.5,76.22K,-1.34%
9/30/20,578,548.75,587,547,122.16K,5.19%
9/29/20,549.5,551,553.25,546,45.64K,-0.14%
9/28/20,550.25,545.25,551.75,537.75,60.68K,1.10%
9/25/20,544.25,552.25,552.5,543.75,48.64K,-1.00%
9/24/20,549.75,548,554.25,541,71.79K,0.14%
9/23/20,549,558.5,560.25,547.25,59.47K,-1.61%
9/22/20,558,553.5,567,550.25,75.82K,0.59%
9/21/20,554.75,576.5,578.25,550.5,96.69K,-3.52%
9/18/20,575,555.75,578,555.5,96.51K,3.37%
9/17/20,556.25,542,557.25,537.25,76.82K,2.63%
9/16/20,542,535.5,543,533.25,47.77K,0.70%
9/15/20,538.25,546,547,533.75,60.56K,-1.87%
